text,label
നല്ല അവതരണം. സത്യം പുറത്തു വരട്ടെ,Fake
Masha Allah,Fake
"അന്വേഷണം കഴിയുമ്പോൾ,. C. A. A. യ്ക്ക് എതിരായ കലാപം പോലെ ആകുമോ.. സ്വന്തം ആളെ തന്നെ പിടിച്ചു അകത്തിടേണ്ടി വരുമോ?",Fake
Illathentha avaru purath vidayittalland verenth,Fake
Barana pakshathin matoru niyamam.nalla moyanth manthrii,original
Marunnu adyam kandupidichittey virous kandupidikkullu China.,Fake
Sudappikal Naadu mudikkum. Moorikallkk eandhu Rajiyasneham. 😡,Fake
നാണമുണ്ടോ ഗവണ്മെന്റെ?,original
Aaayur Veathana an Oru vitamin Aaalugal Sareerathin keadillaathea Kayikkunnath Roagam maarunnumund but<br>Eee vaythyanmaar parayunnath Seriyaanoo annariyoola<br>Onnu pareeksichoodea<br>Aarudea velluvili seegarikk<br>Koroanayulla aalugaludea adutheakk<br>Vid,Fake
😂😂😂😂😂😂patt sakhavine pokki parayuano atho trolluvano,original
ഖുർആൻ നിൽ ഉണ്ടാവും അതിന്റ മരുന്ന് വായിച്ചു നോക്കിയാൽ മതി.,Fake
ഇങ്ങിനെ ഉള്ള ഓളം വെട്ടുകളെ ഒക്കെ ജയിപ്പിച്ചു വിടുന്ന മണ്ടന്‍മാര്‍ ഉള്ള കേരളം no:1 ആണ്,original
നമ്മുടെ അവകാശങ്ങൾ നമ്മുക്ക് തന്നിട്ട് അതൊന്നും മറ്റുള്ളവരുടെ ഔദാര്യങ്ങൾ അല്ല നമ്മുടെ അവകാശമാണ് ഇതൊന്നും ആരും അവരുടെ കുടുംബസ്വത്തല്ല തന്നത്,original
mega vaanamadi,original
ബിജ്യൻ 😂,original
Coordination കൊള്ളാം,original
ഇവരുടെ ഒന്നും തലയിൽ ഒന്നുമില്ലേ!,original
"ആദ്യമായ് ചാനലുകളിൽ വരുന്ന പരസ്യങ്ങൾ സത്യം ആണോ എന്ന് പരിശോധന നടത്താൻ ഗവണ്മെന്റ് ഒരു ജുഡീഷ്യൽ കമ്മിറ്റി undakanam. മുട്ടുവേദന, പ്രാർത്ഥിച്ചാൽ ഫലം, സെക്സ്, ഏലസ്, അങ്ങനെ തുടങ്ങി പലതിനും ചാനലുകൾ പ്രതിഫലം വാങ്ങി പരസ്യം ചെയ്യുന്നു. ഇതെല്ലാം ശാസ്ത്രിയമായി തെറ്റാണ് എന്ന് അറിഞ്ഞുകൊണ്ടാണ് ചാനലുകാരും പത്രമാധ്യമങ്ങളും പണത്തിനു വേണ്ടി ഇതിനു കൂട്ടുപിടിക്കുന്നത്. പിന്നെ എങ്ങനെ സമൂഹം നന്നാവും. ഒരു 30കൊല്ലം മുമ്പത്തെ വാരികകൾ വായിച്ചാൽ വിജ്ഞാനപ്രദമായ പലതും ഗ്രഹിക്കുമായിരിന്നു. ഇന്ന് പരസ്യങ്ങൾ തലമുറയെ മിക്കവാറും വിഡ്ഢികൾ ആക്കുന്നു.",Fake
ഒരു രക്തസാക്ഷിയെ കിട്ടിയതല്ലേ. ഒന്നു ആഘോഷിക്കണ്ട. ഇങ്ങളിത് എന്താണപ്പ ഇങ്ങനെ,original
വളരെ ഉപകാരപ്പെടും... കാരണം.. എനിക്കുതന്നെ എന്തെങ്കിലും അസ്വസ്തത വരുമ്പോ... ചിലപ്പോൾ സംശയങ്ങൾ വരാറുണ്ട് ..,original
Corona paedichu poakumennano ? Enthayalum Rendum Kalpichoru Yaathra.,Fake
അള്ളാഹു ന് പോലും ലെവന്മാരെ രക്ഷിക്കാൻ പറ്റിയില്ല പിന്നല്ലേ... ലോക്ക് ഡൌൺ..... ഈ നാരികൾക്ക് തലയിൽ ചാണകമോ അതോ കളിമണ്ണോ..... ശവങ്ങൾ. വെടിവെച്ചു കൊല്ലണം ഈ മത ഭ്രാന്തന്മാരെ.,Fake
അവതരണം കലക്കി...,original
"ജേക്കബ് വടക്കൻചേരിയേ പോലെ ഉള്ളവർ 95% ചെയ്യുന്നത്<br>.<br>... British medical journal, Lancet തുടങ്ങിയവയിൽ വന്ന... drug mafia  പൂഴ്ത്തിവെച്ച പഠന റിപ്പോർട്ടുകൾ ജനങ്ങളിൽ തുറന്നു കാണിക്കുക<br><br>.... medical books, medical journals ഉള്ള കാര്യങ്ങൾക്ക് വിപരീതമായി modern medicine doctors സമൂഹത്തിൽ ചെയ്യുന്ന കാര്യങ്ങൾ കൂടുതൽ അസുഖങ്ങളിലേക്ക് പോവുന്നു എന്ന കാര്യം<br><br>.... ശാസ്തീയം എന്ന്‌ അവകാശപ്പെട്ടു സമൂഹത്തിൻ്റെ മേലെ അടിച്ചേൽപ്പിക്കുന്ന കാര്യങ്ങൾക്ക് മറ്റു ചില വശങ്ങൾ കൂടി ചിന്തിച്ചു നോക്കിക്കൂടെ എന്ന്....<br>.<br>മീഡിയകൾ അനാവശ്യമായി ജനങ്ങളെ പേടിപ്പിക്കുന്നതിനെ കുറിച്ച്. ...<br>..... <br>.... ലളിതമായി ഭക്ഷണം കഴിച്ച് , നന്നായി ഉറങ്ങി നല്ലത് ചിന്തിച്ച് , നല്ലത് ചെയ്ത് അസുഖമില്ലാതെ ജീവിച്ചൂടെ എന്നല്ലെ അവർ ചോദിക്കുന്നത്. <br>.....<br>ഇത് അത്ര മോശം കാര്യമാണ് എന്ന് തോന്നുന്നുണ്ടോ?",Fake
പിണറായി രാജാവ് പടു വിഡ്ഡി ഇത് പാടിയ അവനും അഭിനയിച്ച അവനും കുടുംബശ്രീ ചേച്ചിമാരുടെ ഓക്കേ നിലവാരം,original
Good presentation nisha🤩,Fake
"All the rules regarding COVID protocol are only for the common man . Our high and mighty and supercilious Ministers are beyond all these protocols. They can organize these melas like the one above, collect thousands of fawning public for inauguration of a bridge and such others. For them rules are meant to be bent and broken. Their gift of gab will get them thru all these protocols.",original
"CPM and it&#39;s party conferences being held throughout  the state,disregarding covid protocol management, are solely responsible for the rampant spread of Covid 19 .in the state to alarming levels. The party leaders have organized massive programs like Thiruvathirakali etc.<br>The Central government and the Ministry of Health should order an urgent inquiry in to the abuse of protocol rules.",original
ഒരു ജീവൻ പൊലിഞ്ഞപ്പോഴേക്കും തിരുവാതിര song  ഒക്കെ  ready ആക്കിയല്ലോ...,original
എടോ പിണറായി എവിടെടോ mask,original
കേരളത്തെ . ഒന്നൊന്നായി<br>വമ്പൻ പ്രളയം വിഴുങ്ങിയപ്പോൾ<br>ദുരിതാശ്വാസ ഫണ്ടിൽ നിന്നും ഫണ്ട് അടിച്ചി മാറ്റിയില്ലേ <br>കമ്മ്യൂണിസ്റ്റ് പാർട്ടി😂,original
