,text,label,training_label,cleaned,transliterated_text
0,നല്ല അവതരണം. സത്യം പുറത്തു വരട്ടെ,Fake,1,നല്ല അവതരണം. സത്യം പുറത്തു വരട്ടെ,നല്ല അവതരണം. സത്യം പുറത്തു വരട്ടെ
1,Masha Allah,Fake,1,masha allah,മാഷ അല്ലാ
2,"അന്വേഷണം കഴിയുമ്പോൾ,. C. A. A. യ്ക്ക് എതിരായ കലാപം പോലെ ആകുമോ.. സ്വന്തം ആളെ തന്നെ പിടിച്ചു അകത്തിടേണ്ടി വരുമോ?",Fake,1,"അന്വേഷണം കഴിയുമ്പോൾ,. c. a. a. യ്ക്ക് എതിരായ കലാപം പോലെ ആകുമോ.. സ്വന്തം ആളെ തന്നെ പിടിച്ചു അകത്തിടേണ്ടി വരുമോ?","അന്വേഷണം കഴിയുമ്പോൾ,. സി. അ. അ. യ്ക്ക് എതിരായ കലാപം പോലെ ആകുമോ.. സ്വന്തം ആളെ തന്നെ പിടിച്ചു അകത്തിടേണ്ടി വരുമോ?"
3,Illathentha avaru purath vidayittalland verenth,Fake,1,illathentha avaru purath vidayittalland verenth,ഇല്ലതെന്ത അവരു പുറത്ത് വിടയിട്ടല്ലണ്ട് വേറെന്ത്
4,Barana pakshathin matoru niyamam.nalla moyanth manthrii,original,0,barana pakshathin matoru niyamam.nalla moyanth manthrii,ബറാന പക്ഷത്തിന് മറ്റൊരു നിയമം.നല്ല മൊയന്ത് മന്ത്രി
5,Marunnu adyam kandupidichittey virous kandupidikkullu China.,Fake,1,marunnu adyam kandupidichittey virous kandupidikkullu china.,മരുന്ന് ആദ്യം കണ്ടുപിടിച്ചിട്ടേ വൈറസ് കണ്ടുപിടിക്കുള്ളു ചിന.
6,Sudappikal Naadu mudikkum. Moorikallkk eandhu Rajiyasneham. 😡,Fake,1,sudappikal naadu mudikkum. moorikallkk eandhu rajiyasneham.  ,സുഡാപ്പികൾ നാട് മുടിക്കും. മൂരികൾക്ക് ഏന്ത് രാജ്യസ്നേഹം.
7,നാണമുണ്ടോ ഗവണ്മെന്റെ?,original,0,നാണമുണ്ടോ ഗവണ്മെന്റെ?,നാണമുണ്ടോ ഗവണ്മെന്റെ?
8,Aaayur Veathana an Oru vitamin Aaalugal Sareerathin keadillaathea Kayikkunnath Roagam maarunnumund but<br>Eee vaythyanmaar parayunnath Seriyaanoo annariyoola<br>Onnu pareeksichoodea<br>Aarudea velluvili seegarikk<br>Koroanayulla aalugaludea adutheakk<br>Vid,Fake,1,aaayur veathana oru vitamin aaalugal sareerathin keadillaathea kayikkunnath roagam maarunnumund buteee vaythyanmaar parayunnath seriyaanoo annariyoolaonnu pareeksichoodeaaarudea velluvili seegarikkkoroanayulla aalugaludea adutheakkvid,ആയൂർ വേതന ഒരു വിറ്റാമിൻ ആളുകൾ ശരീരത്തിന് കോഡില്ലാതെ കായിക്കുന്നത് രോഗം മാറുന്നുമുണ്ട് ബുട്ടി വയ്ത്യന്മാർ പറയുന്നത് സെറിയാനോ എന്നറിയൂലാഒന്ന് പരീക്സിച്ചൂടെആരുടെ വെല്ലുവിളി സീഗരിക്കോരോണയുള്ള ആളുകളുടെ അടുത്തോക്ക്വിഡ്
9,😂😂😂😂😂😂patt sakhavine pokki parayuano atho trolluvano,original,0, patt sakhavine pokki parayuano atho trolluvano,പാട്ട് സഖവിനെ പൊക്കി പറയുവാനോ അതോ ട്രോളുവാനോ
10,ഖുർആൻ നിൽ ഉണ്ടാവും അതിന്റ മരുന്ന് വായിച്ചു നോക്കിയാൽ മതി.,Fake,1,ഖുർആൻ നിൽ ഉണ്ടാവും അതിന്റ മരുന്ന് വായിച്ചു നോക്കിയാൽ മതി.,ഖുർആൻ നിൽ ഉണ്ടാവും അതിന്റ മരുന്ന് വായിച്ചു നോക്കിയാൽ മതി.
11,ഇങ്ങിനെ ഉള്ള ഓളം വെട്ടുകളെ ഒക്കെ ജയിപ്പിച്ചു വിടുന്ന മണ്ടന്‍മാര്‍ ഉള്ള കേരളം no:1 ആണ്,original,0,ഇങ്ങിനെ ഉള്ള ഓളം വെട്ടുകളെ ഒക്കെ ജയിപ്പിച്ചു വിടുന്ന മണ്ടന്‍മാര്‍ ഉള്ള കേരളം no:1 ആണ്,ഇങ്ങിനെ ഉള്ള ഓളം വെട്ടുകളെ ഒക്കെ ജയിപ്പിച്ചു വിടുന്ന മണ്ടന്‍മാര്‍ ഉള്ള കേരളം നോ:൧ ആണ്
12,നമ്മുടെ അവകാശങ്ങൾ നമ്മുക്ക് തന്നിട്ട് അതൊന്നും മറ്റുള്ളവരുടെ ഔദാര്യങ്ങൾ അല്ല നമ്മുടെ അവകാശമാണ് ഇതൊന്നും ആരും അവരുടെ കുടുംബസ്വത്തല്ല തന്നത്,original,0,നമ്മുടെ അവകാശങ്ങൾ നമ്മുക്ക് തന്നിട്ട് അതൊന്നും മറ്റുള്ളവരുടെ ഔദാര്യങ്ങൾ അല്ല നമ്മുടെ അവകാശമാണ് ഇതൊന്നും ആരും അവരുടെ കുടുംബസ്വത്തല്ല തന്നത്,നമ്മുടെ അവകാശങ്ങൾ നമ്മുക്ക് തന്നിട്ട് അതൊന്നും മറ്റുള്ളവരുടെ ഔദാര്യങ്ങൾ അല്ല നമ്മുടെ അവകാശമാണ് ഇതൊന്നും ആരും അവരുടെ കുടുംബസ്വത്തല്ല തന്നത്
13,mega vaanamadi,original,0,mega vaanamadi,മെഗ വാണമടി
14,ബിജ്യൻ 😂,original,0,ബിജ്യൻ  ,ബിജ്യൻ
15,Coordination കൊള്ളാം,original,0,coordination കൊള്ളാം,കോഓർഡിനേഷൻ കൊള്ളാം
16,ഇവരുടെ ഒന്നും തലയിൽ ഒന്നുമില്ലേ!,original,0,ഇവരുടെ ഒന്നും തലയിൽ ഒന്നുമില്ലേ!,ഇവരുടെ ഒന്നും തലയിൽ ഒന്നുമില്ലേ!
